,no,type,people,org,article,comm
146,22,即時新聞攝影獎,于志旭,聯合報,並非人人都是馬迷,精湛畫面中，豐富前景描述了女主角的職業，快門則進一步掌握了她肢體語言所表露的政治立場。攝影者藉上逝時、空因素特質，共構出和遠景政治人物的強烈對比，成果令人拍案叫絕。
147,22,專題新聞攝影獎,高政全,中國時報,「迷惘的雙頭鷹」俄羅斯專題報導,蘇聯解體以來，有關其社會變動的內容仍屬稀有。本系列作品，各別影像訊息清晰、鏡頭表現的語彙豐富，提供觀者多面向了解俄羅斯的新興面貌。
148,23,新聞即時報導獎,陳惠惠等9人,聯合報,波波起波瀾-探討波蘭醫學生回台系列報導,本篇報導以民眾舉發為起點，在地方記者與總社編輯部的通力合作下，歷經五個多月〈波波起波瀾─探討波蘭醫學生回台系列報導〉率先披露波蘭醫學院學歷在台灣被承認與錄用所衍生的合法性與適當性問題。該報導呈現不同的討論觀點，並追溯波蘭醫學發展的歷史脈絡，與呈現波蘭目前的醫學教育和醫療評比，為兼具廣度與深度的報導。此一報導攸關國內健康醫療品質的把關，引起廣泛注意與討論，以及後續主管機關對相關政策法規的檢討。
149,23,新聞深度報導獎,張毅君等6人,商業周刊,牛奶殺人,「三聚氰安毒奶殺人」事件震撼全球，事發後台灣消費者人心惶惶，但都未從新聞事件的源頭做正本清源式的報導。這篇報到在事件爆發後的第一時間即奔赴毒奶來源第一現場，披露牛奶供需失衡狀況、奶農產製與生活實況以及公司負責人的事蹟，創造了重大新聞事件即時直搗源頭作第一手報導的範例。同時，從各個面向剖析事件形成的深層原因、連鎖效應以及啟示意義，堪為深度新聞報導的典範。
150,23,新聞評論獎,黃年,聯合報,請君入甕或與卿共舞,"《請君入甕或與卿共舞》系列作品立論中肯，說理明白；指出步入""兩岸有為""時代應該信守的價值，互信的方法，可行的步驟。""筷子理論""尤為創見，精闢淺顯，有說服力，足為兩岸朝野有識有權者深思力行。"
151,23,國際新聞報導獎,單小懿等6人,商業周刊,冰島破產,Outstanding!商業周刊《冰島破產》報導，“第一時間深入現場”名符其實，將一北歐小國國家破產之重大國際新聞，迅速確實傳遞給國人讀者。該報導深入而生動，發人深省，堪為國際新聞報導的典範作品。
152,23,地方新聞報導獎,劉力仁等７人,自由時報,煙囪裡的秘密--雲林麥寮高罹癌率追蹤報導,本系列報導以學者完成的評估報告(指雲林麥寮六輕及其周邊鄉鎮居民罹癌率明顯增加)為基礎，進行追蹤採訪。透過當地居民的口述、小學生長年戴口罩上課的事實，呈現工業發展與環境保護、居民健康的衝突議題，反映弱勢居民心聲，引發政府單位、環保團體與社會各界的關注；報導兼採台塑觀點，求其平衡，能善盡媒體守護公眾之責。
153,23,文化專題報導獎,劉佩修等5人,商業周刊,百大特色小學,"本專題詳細介紹台灣極具教學特色的小學,非常發人深省.讓讀者對基礎教育的價值有全新的體認.台灣有太多家長急於讓孩子從小揹負沉重的學習重擔,讓上學成為一大壓力.百大特色小學專題報導讓讀者從全新的視野省思教育文化,提醒大家,寓教於樂不僅僅是一句口號,也是可以實現的教育目標。"
154,23,即時新聞攝影獎,黃世麒,中國時報,我怎麼會嫁給這種人,馬總統張口進食的照片經常可見，但第一夫人鮮活的反應表情卻千載難逢。這幅即時新聞照片，在構圖上雖有瑕疵，卻捕捉到元首夫婦一個讓人莞爾的瞬間，且生動地描寫了兩造關係的某種「真實」。
155,23,專題新聞攝影獎,陳弘岱,經典雜誌,「糧荒系列報導」─災後緬甸米,緬甸於風災後重建稻米產業的專題，並不具有容易討好的視覺素材，但攝影者能夠在一組議題與焦點清楚的系列圖片裡，以鏡頭說故事，並且在材料和構圖的編輯上配置得宜，是一份相對傑出的專題攝影製作。
156,24,新聞即時報導獎,黃寅柯永輝陳秋雲苗君平趙容萱喻文玟張弘昌洪敬浤白錫鏗江良誠紀文禮張家樂林秀美戴永華魏忻忻李順德李志德何定照薛荷玉于志旭(20人),聯合報,官僚殺人-小小曹自殺悲劇,一件在台灣並不罕見的母女自殺案件，聯合報跨縣市、跨路線進行追訪，竟發現是由於社工、警察不夠積極，導致小女童陷入孤立無援的困境。採訪過程中學校主任的懊悔，社會處官員的自責以及社工教授的嚴厲批評，讓一件看似普通的自殺案件獲得制度面的深刻檢討。而呈現小小曹生前『陽光女孩』的側寫，則為這件嚴肅的社會議題更添感性張力。
157,24,新聞深度報導獎,蕭富元彭昱融江逸之張漢宜吳琬瑜謝明玲賴建宇(7人),天下雜誌,要命的水,台灣是個海島，受到海洋氣候的調節，雨量豐富，照說不應該缺水，但是水庫仍然常常見底，庫底龜裂的圖片令人觸目驚心；同樣的，颱風帶來豪雨時，台灣又立刻成為水鄉澤國，這篇報導用「要命的水」為題非常的貼切，澇和旱都要老百姓的命。本篇報導企劃周延，資料搜集豐富且整合得宜，立論深刻，文字流暢，得到新聞深度報導獎實至名歸。
158,24,新聞評論獎,于國欽,工商時報,動盪的內閣、消沉的文官、停滯的經濟,《工商時報》社論九篇﹙98．8．13—99．5．17﹚以〈動盪的內閣、消沉的文官、停滯的經濟〉為總標題，對2008年政黨輪替後馬政府的表現提出批判與建言，篇篇切中時弊，言之成理。媒體一向是政府的諍友，《工商時報》主筆善盡言責，以精湛之學養、卓越之遠見與坦率之直言，為台灣之國際競爭力針砭馬政府之施政作風與效能，讀之令人讚佩。
159,24,國際新聞報導獎,江逸之李雪莉賴建宇謝明玲馬岳琳(5人),天下雜誌,中國47個超級城市崛起,能看到內陸四十七個二、三線城市興起，需有宏觀與微觀的洞悉。城市化高速進行，經濟力強，消費力猛進，城市居民與鄉村居民都富起來了，中國大陸正從生產大國向消費大國邁進，資源與環境的永續以及社會的平衡發展成了新課題。對台商言，機會在前，能掌握嗎？風險在後，能迴避嗎？四十四整頁的詳盡報導，數據與分析兼具，是篇掌握了脈動且有前瞻意義的上好之作。
160,24,地方新聞報導獎,劉力仁方志賢林嘉琪王榮祥蔡清華王昶閔高嘉和郭芳綺鍾麗華黃佳琳楊國文(11人),自由時報,毒水危機：高雄仁武廠地下水毒物超標30萬,自由時報3月21日頭版的獨家報導，為台塑高雄仁武廠地下水重大環境污染新聞揭開序幕，並且接續獨家揭露毒物滲漏已達8年之久，掌握並且主導了此重大新聞事件發展之節奏，充分展現媒體對政府施政以及對大企業公共責任進行監督的能量。
161,24,文化專題報導獎,何榮幸郭石城謝錦芳黃哲斌高有智王瑞瑤林欣誼洪榮志黃如萍陳易志潘建志廖嘯龍廖素慧徐亦橋張亦良吳垠慧黃文博石文南黃天如張翠芬廖志晃朱立群林和生(23人),中國時報,「民國99，台灣久久－台灣百年文化內涵與集體記憶」專題,以難得一見的規模，有系統地報導百年來台灣各族群、各領域庶民攜手共建的台灣文化精髓及其內蘊的核心價值。本專題報導主題及子題的深廣度具足，點面的內容兼顧，今昔故事串陳，層次井然，結構幾近完整；文字及圖像的採集、整理及編撰具見用心及專業智慧，使報導能趨近生動與嚴肅、趣味與意義並致的境界。在民國一百年前夕，本專題報導掌握新聞價值的要義，藉由舖陳台灣百年的文化脈動，點亮台灣的集體記憶及生命力，表現可圈可點。
162,24,即時新聞攝影獎,侯永全,聯合報,讓我回去救家人,作者在紛亂的災難現場，選擇了有利位置和角度，用全景畫面，冷靜、精準地掌握住受災民眾因瞬間情緒爆發而導致的騷動與突圍景況；從畫面左、中、右三位跑者所呈露的激動表情和動態身形中，充分體現人在面對重大災變時，為求解救親人危難而自然流露的至性與真情，深深令人感動。
163,24,專題新聞攝影獎,劉子正,經典雜誌,問天,專題內容雖為台灣當下最令人關切的「因氣候變遷而引發的土地超限利用」問題，但在攝影的呈現上，在系列作品中，以看似單純且相近的構圖，展現「雖聚焦於主體－農民，卻也凸顯環境－災後大地」；如此既具個人特色又寓深刻內涵的特殊影像語言風格，堪稱國內新聞攝影在手法與造意上的新表現。
164,25,新聞即時報導獎,施靜茹張耀懋詹建富陳惠惠劉惠敏張嘉芳陳俐君何炯榮修瑞瑩陳洛薇(10人),聯合報,塑化風暴全紀錄,今年五月二十三日，行政院衛生署公佈全球首見的塑化劑污染食品事件。聯合報記者施靜茹、張耀懋、詹建富、陳惠惠、劉惠敏、張嘉芳、陳俐君、何炯榮、修瑞瑩、陳洛薇等十人此次參賽的「塑化風暴全紀錄」系列報導，於事件曝光的第一天即率先獨家採訪到揭發塑化劑污染的楊技正，及追查黑心廠商的兩位檢察官。之後，除每日揭露可能遭塑化劑污染的食品外，也大篇幅報導、教導民眾自保之道，完整紀錄此一台灣有史以來最大的食品安全風暴，善盡媒體監督環境職責，獲評審委員一致推薦為優良之「即時新聞」報導。
165,25,新聞深度報導獎,亓樂義劉正慶(2人),中國時報,兩岸遷徙首部曲-黃金大搶運系列報導,中國時報亓樂義與劉正慶兩位記者所撰寫的「黃金大搶運系列報導」榮獲吳舜文新聞獎之「新聞深度報導獎」第一名，因為它完整且有深度的將1949年大陸變色時，黃金秘密運台的始末報導出來。此報導具有歷史價值：國庫因為有了這筆黃金才能發行新台幣，才能穩定台灣的經濟和人心，且深具新聞價值：因為這一段過程除參與者，極少人知道，國民對這段歷史的好奇心非常強烈。作者詳細的報導了當時的經過，文中許多不為人知的內幕和圖片彌足珍貴。在本文刊出來後，大陸中央電視台也製作了相關主題的節目，節目的名稱是「蔣介石偷運黃金內幕」，經中天丁雯靜抗議後，改為「蔣介石密運黃金內幕」，這一字之差，讓人嗅到了兩岸春天的氣息。這篇報導完全符合深度新聞獎的條件，故獲選。
166,25,新聞評論獎,黃年,聯合報,「統一論」與「連結論」,報紙為輿論形成之重要媒介；新聞評論之過程雖具複雜性，但卻也能夠知事達理、開發思考、燭照社會、指引前路。當兩岸議題因藍綠撕裂，在台灣陷於長期互為指責聲中，聯合報以「統一論」與「連結論」之思考，作為解決方案之探索方向，期以逃脫陷阱，走出困局，其前瞻與用心，俱見創意及美善。
167,25,國際暨大陸新聞報導獎,程嘉文徐柏棻鄭筑羚甘育瑋陳思豪(5人),聯合報,大陳島特別報導,"民國百年，兩岸關係和互動已開展了一個全新的局面。當媒體都傾向把注意力聚焦到對岸經濟實力擴張、地區超速發展所創造的誘人商機，臺灣企業在大陸的機會、教訓、成功、失敗的商業主題時，聯合報所刊載的這一系列報導，特別選擇了隔離於進步和發展之外的大陳島為軸心，重新整理五十六年前大陳撤退，一江山戰役、烈士孤軍、大陳義胞等等可能已經被遺忘，但又不能遺忘的血淚和無奈。作者的系列報導，如實刻劃出浙江大陳島及臺灣各處大陳義區的人、地現況，也倒帶般的重現五十六年前撤守前夕，島上逾萬國民的壯志和惶恐。來臺之後，這最後一批集體南渡東涉的大陸人，就跟其他較早暫遷臺灣的軍民一樣，對反攻回鄉，經歷渴望、奢望和失望的淒涼歲月。在那個大時代、小地方所發生的大故事，作者以洗鍊的文字，潤帶感情的筆觸，融合一手資料和豐富的歷史檔案，為五十六年前的悽楚和無奈重建現場,也完成引領讀者看到時代浪潮中憨膽大陳人如何博出一片天的任務。."
168,25,地方新聞報導獎,吳淑君(1人),聯合報,變調的蘭陽溪,宜蘭在前年及去年，連續兩年淹大水，好山好水遭受破壞，宜蘭人談水色變。聯合報記者吳淑君深入採訪，揭露河川局將蘭陽溪河床放租給農民種植西瓜、高麗菜等農作物，除恐成為公路殺手外，加上蘭陽溪農民種植作物，大量使用生雞糞，惡臭及蒼蠅破壞環境衛生，已經造成交通、環保、觀光、飲水安全等衝擊。此一系列報導善盡媒體監督環境職責，報導內容除引起宜蘭地檢署重視，分案調查，監察委員陳永祥、尹祚芊也到宜蘭巡察。最重要的，本系列報導符合吳舜文新聞獎基金會獎勵長年經營地方的新聞工作者的基本精神，因予推薦。
169,25,文化專題報導獎,何榮幸謝錦芳高有智楊舒媚黃奕瀠(5人),中國時報,「消失與重生」系列專題報導,中國時報記者何榮幸、謝錦芳、高有智、楊舒媚及黃奕瀠等五人完成的消失與重生系列專題報導，涵蓋了各領域正在消失的文化現象或事物，以及該現象或事務如何在轉型後重生，有承先啟後、繼往開來的意義。此一系列報導包括了「獵人」、「鉛筆」、「霧峰林宅」、「產婆」、「樹皮文化」、「大仙尪」、「功夫村」與「母語姓名」等面向甚廣的主題，以整版的版面詳加探討，深入淺出，不但緬懷當年輝煌燦爛的風光歲月、解釋日見凋零的時代背景，並指出在困境中突破求生的方向，是五名記者用心、用功的心血作品。相信台灣還有不少其他的文化現象或人事物正在式微凋零，期盼這一系列報導，能引領啟發他們找到重生之路。
170,25,即時新聞攝影獎,從缺,從缺,從缺,從缺
171,25,專題新聞攝影獎,黃世澤,經典雜誌,回收場裡的寧靜革命(8張),資源回收雖然不是新的議題報導主題，但「回收場裡的寧靜革命」這組照片，除了呈現資源回收的過程及方式之外，也計畫性地加入回收場志工的故事。而這些小故事頗具感染力，也能夠引起共鳴，並藉以提升人們對資源回收的關切。「回收場裡的寧靜革命」這組專題攝影中，每張照片對光線的敏銳運用、場景構圖的精準、影像語言的傳達，不但具有攝影者的觀點，也反映出庶民文化與現今社會的存在現象的省思，充分顯示資源回收觀念的革命，更意味著這是一場人類淨化的革命！
172,26,新聞即時報導獎,詹建富、陳惠惠、張嘉芳、張耀懋、施靜茹、劉惠敏、黃文彥、李順德、張錦弘、蔡永彬、陳幸萱、陳永順等12人,聯合報,血汗醫院裡的病患血淚－塞爆的急診、等床的人龍…,血汗醫院的現場描述，讓一般人看病時難以言喻的懷疑和恐懼都躍然紙上，在獲得社會迴響及主管機關重視後，對現況的改善有正面影響。
173,26,新聞深度報導獎,賴寧寧、劉佩修、吳和懋等3人,商業周刊,阿共、銀彈、虱目魚,突破ECFA報導的陳窠，找出新角度，以報導文學方式，呈現小漁村在金錢收益與政治認同間的掙扎，展示了作品的張力。
174,26,公共服務獎,劉致昕、孫秀惠、張毅君、劉于甄、李光真等5人,商業周刊,台灣海岸浩劫,聚焦於近來觀光開發與海岸保護所引發的衝突。以新事例、新角度、新手法報導，讀來格外驚悚，讓政府與社會無從逃避，必須面對這議題。
175,26,國際暨大陸新聞報導獎,蕭富元、賀桂芬、李雪莉、吳韻儀、張翔一、吳挺鋒、辜樹仁、洪家寧、陳竫詒、丁筱晶等10人,天下雜誌,「國家之路」系列報導,採訪全球不同地區六個國家，探討他們治理成功與失敗的原因，涵蓋面完整，比對方向確切，具有相當高的閱讀和參考價值。
176,26,即時新聞攝影獎,高彬原,聯合報、聯合晚報,生死瞬間,影像即時捕捉到在暗夜狂風巨浪肆虐下，一艘觸礁貨輪殘骸上幾個命懸一線倖存船員，正奮力掙扎求生的驚險剎那，此作將即時新聞攝影的功能與價值作了最極致的發揮。
177,26,專題新聞攝影獎,安培淂,經典雜誌,難行仍行,專題針對台灣都會交通各項實際問題與拓建工程，用攝影作了最適當、清楚的呈現，而作者透過手中鏡頭詮釋新聞內容，則有最貼切、生動、自然、並且饒具美感的難得發揮和展現。
178,28,新聞即時報導獎,陳安琪、王亞志、陳以昇、曾維民、陳郁凱、范道瑛、吳明峰等7人。,蘋果日報,灌水牛肉真相追蹤報導,針對主要食物之安全，不畏艱難，長時間追蹤採訪報導，最後促成政府權責單位之重視及收善，兼具獨家性、重要性與影響力。
179,28,新聞深度報導獎,賴寧寧、王之杰、楊少強、陳筱晶等4人。,商業周刊,失控的台灣債,部份地方政府債台高築，久為人民詬病。本項報導，企劃完整，面向周延，深入淺出，對部份地方政府首長完成一已卻債留子孫的惡行，揭露無遺。
180,28,公共服務獎,侯俐安、黃福其、李順德、陳雨鑫、林河名、許雅筑、陳皓嬿、胡宥心、鄭維真、胡宗鳳、洪敬浤、陳乃綾、李昭安、羅建旺等14人,聯合報,終結假農民的關鍵力量,老農津貼原係德政，卻因管理不善衍生重大弊端。本系列報導拆解民粹荒謬，並緊緊追蹤監察院糾正，立法院修法，最後終結亂象，允為媒體善盡社會責任之典範。
181,28,國際暨大陸新聞報導獎,鄒秀明、林以君、孫中英、黃義書等4人。,聯合報系,越南排華暴動現場全紀錄,越南排華事件舉世注目。本項現場報導兼具台灣觀點與國際角度，並掌握時代脈動，殊可肯認。
182,28,即時新聞攝影獎,莊淇鈞,蘋果日報,男大生血洗捷運,台灣捷運隨機殺人事件前所未有，作者能於極短時間內趕到現場，殊為難得；且新聞攝影重震撼性，本項作品殊可稱許。
183,28,專題新聞攝影獎,曾吉松,聯合報,太陽花學運佔領國會,太陽花學運眾所矚目，本系列作品時序清楚，構圖亦佳。且每張作品皆有外顯意義與內隱意義，稱為佳作，當之為愧。
184,28,電視新聞即時報導獎,王薏絜、薛孝安、張鎮安等3人。,TVBS新聞台,故宮白菜出國記,本項報導企劃完整，報導周延，畫面珍貴。文化新聞本較靜態，作者卻能發揮專業智能，使其兼具獨家性，即時性與重要性，殊堪嘉許。
185,28,電視新聞深度報導獎,羅曉荷、游昌樺、林天佑、張加、陳岳威、林怡妘、藍雍森、李文顥、鄭熹、賴緯凡、張崇閔、許馨月、王光慈等13人。,UDNTV,明天的電核去核從,台灣核電何去何從，爭議不休。本項報導客觀深入核電問題的各面向，揭露完整資訊，兼及他山之石，當有助於國人同胞做出更佳判斷，係媒體發揮引導社會功能的佳作。
186,29,平面類新聞專題報導獎,呂國禎、陳良榕、李郁欣等3人,天下雜誌,失控的高科技廢物,本報導深入調查台灣事業廢棄物任意棄置的不堪內幕，凸顯高科技公司製造的環境危機，並揭露其產值成長的虛假騙局，乃整條產業鏈的放縱或腐敗所致。事證紮實、論述嚴謹，且促成有關當局與環保團體重視，善盡媒體監督及報導的社會責任。
187,29,平面類中國大陸新聞報導獎,陳言喬、程嘉文、范振和、陳雅玲等4人,聯合報,抗戰勝利70周年專題,本報導掌握兩岸關係緩解的契機，盡可能的紀錄尚存抗戰老兵的受想行識，也見證這頁飽含民族苦難與氣節的動人篇章，讓被遺忘的社會角落不再幽闇，被輕忽的生命故事不致湮滅，字裡行間自然動人，洵屬佳構。
188,29,平面類國際新聞報導獎,何定照、周美惠等2人,聯合報,社企，讓青年圓夢,記者走訪英美，專訪履踐公益的企業，推廣賺錢同時行善的觀念與做法，引介朝野如何聯手建構社企體系，打造解決社會問題的新模式。不僅引發國內社企風潮，亦樹立以國際新聞影響政策及思維的優異範例。
189,29,平面類新聞攝影獎,黃彥傑,蘋果日報,台北空難復航墜河,本系列作品不僅為災難現場的逃生與救難工作留下具高度時效性的珍貴見證，抑且捕捉到生還乘客懷抱稚齡幼兒獲救瞬間的真摯神情，極具說服力與感染力。
190,29,電視類新聞專題報導獎,林上筠、王心喬、張鎮安、張肇華等4人,TVBS電視台,台灣醫療紅色警戒,本報導展現卓越之規劃與應變能力，數據與個案引用深入，揭露對台灣現在與未來影響深遠之議題，乃兼具現實性與新聞感的優異報導。
191,29,電視類中國大陸新聞報導獎,何惠萍、蕭惟任等2人,民視電視台,劉里長的前背包,雖然只是一個熱心里長的感人故事，卻能彰顯時代悲劇下的人性底蘊。敘事流暢、情感真摯，全片一氣呵成，足令觀者動容。
192,29,電視類國際新聞報導獎,范逸華、劉伯奇等2人,三立電視台,漂浪、敘利亞苦難紀實,本報導深入敘利亞難民潮現場，第一手直擊土敘邊境緊張情勢，既凸顯難民生活的流離困頓，復刻劃移民還是難民的矛盾與衝突，為高難度採訪、高難度選材的國際新聞現場採訪，難能可貴。
193,27,新聞即時報導獎,呂國禎、孫秀惠、陳筱晶等3人。,商業周刊,槍、海權、黑鮪魚,
194,27,新聞深度報導獎,彭漣漪、彭杏珠、洪綾襄、王怡棻等4人。,遠見雜誌,我的老年誰來養,
195,27,公共服務獎,蔡惠萍、鄭朝陽、高宛瑜、莊宗勳、熊迺祺、陳金松、藍凱誠、洪敬浤、林佩均、游振昇、王長鼎、曾懿晴、趙容萱、范榮達、胡蓬生、高詩琴、陳瑄喻、邱瓊玉、王昭月等19人。,聯合報,公路正義-期盼在轉彎處遇見文明,
196,27,國際暨大陸新聞報導獎,呂國禎、張毅君、鄧麗萍等3人。,商業周刊,一顆石頭改變全世界,
197,27,即時新聞攝影獎,林澔一,聯合報,國道五號收費暴力,
198,27,專題新聞攝影獎,蕭耀華,慈濟月刊,敘利亞難民路,
199,27,電視新聞即時報導獎,胡慕情、陳慶鍾、陳添寶、章明哲等4人。,公共電視,尋找美麗灣系列報導,
200,27,電視新聞深度報導獎,丁雯靜、余明洙、唐一寧等3人。,中天電視,台灣人在滿洲國,
201,27,電視新聞深度報導獎,李雪莉、黃兆徽、洪雅芳、林佳慧、林有成、陳佳鍵、孫柏峰、陳寧、蔡紀眉、辜樹仁、陳則緯、江蕙如、陳紹謙等13人。,天下影音頻道,台灣剩食之旅-我們可以不再浪費,
202,30,平面類新聞專題報導獎,姚惠珍,新新聞周刊,【王雪紅假公益真投資】【王雪紅公益挪錢術】,
203,30,平面類兩岸新聞報導獎,蔡素蓉、周慧盈、張淑伶、邱國強、尹俊傑、馮昭、張謙等7人,全球中央雜誌社,一場集體瘋狂的浩劫－中國大陸文革五十周年,
204,30,平面類國際新聞報導獎,劉致昕、吳和懋、楊少強、劉佩修等4人,商業周刊,德國的世紀豪賭,
205,30,平面類新聞攝影獎,蕭耀華,慈濟月刊,中東難民跨界苦旅,
206,30,電視類新聞專題報導獎,張岱屏、林燕如、陳忠峰等3人,公共電視台,【失控的零廢棄】系列報導,
207,30,電視類兩岸新聞報導獎,莊志偉、陳相如、顏睿陞、黃荷婷、陳盈仁、林婉婷、王華麟、李皇龍、曾俊豪、蕭應強、廖雅玉、俞信翰等12人,TVBS電視台,綠色革命!中國進行式「世界地球日」特別報導,
208,30,電視類國際新聞報導獎,王詩雅、陸琲琲、吳亭儀、許瓊文、何世得、蔣宏儒、石紹周、花振森等8人,三立電視台,消失的國界－基因改造的美麗與哀愁,
209,30,獎助類海外進修補助,本屆從缺,本屆從缺,本屆從缺,
210,30,平面類新聞專題報導獎,姚惠珍,新新聞周刊,【王雪紅假公益真投資】【王雪紅公益挪錢術】,
211,30,平面類兩岸新聞報導獎,蔡素蓉、周慧盈、張淑伶、邱國強、尹俊傑、馮昭、張謙等7人,全球中央雜誌社,一場集體瘋狂的浩劫－中國大陸文革五十周年,
212,30,平面類國際新聞報導獎,劉致昕、吳和懋、楊少強、劉佩修等4人,商業周刊,德國的世紀豪賭,
213,30,平面類新聞攝影獎,蕭耀華,慈濟月刊,中東難民跨界苦旅,
214,30,電視類新聞專題報導獎,張岱屏、林燕如、陳忠峰等3人,公共電視台,【失控的零廢棄】系列報導,
215,30,電視類兩岸新聞報導獎,莊志偉、陳相如、顏睿陞、黃荷婷、陳盈仁、林婉婷、王華麟、李皇龍、曾俊豪、蕭應強、廖雅玉、俞信翰等12人,TVBS電視台,綠色革命!中國進行式「世界地球日」特別報導,
216,30,電視類國際新聞報導獎,王詩雅、陸琲琲、吳亭儀、許瓊文、何世得、蔣宏儒、石紹周、花振森等8人,三立電視台,消失的國界－基因改造的美麗與哀愁,
217,30,獎助類海外進修補助,本屆從缺,本屆從缺,本屆從缺,
